Encanto,2021,7.3
Jackass Forever,2022,7.6
Don't Look Up,2021,7.2
Licorice Pizza,2021,7.8
Ghostbusters: Afterlife,2021,7.2
CODA,2021,8.1
Sing 2,2021,7.5
Verdens verste menneske,2021,7.9
I Want You Back,2022,6.7
Red Rocket,2021,7.2
The French Dispatch,2021,7.3
The Suicide Squad,2021,7.2
Free Guy,2021,7.2
Ghostbusters,1984,7.8
The Wolf of Wall Street,2013,8.2
Kingsman: The Secret Service,2014,7.7
Dog,2022,7.0
Once Upon a Time in... Hollywood,2019,7.6
Sing,2016,7.1
Kingsman: The Golden Circle,2017,6.7
The Gentlemen,2019,7.8
Gisaengchung,2019,8.6
Knives Out,2019,7.9
The Big Short,2015,7.8
Cruella,2021,7.4
Jackass: The Movie,2002,6.6
Raya and the Last Dragon,2021,7.3
The Hangover,2009,7.7
The Mitchells vs the Machines,2021,7.7
Luca,2021,7.5
Spider-Man: Into the Spider-Verse,2018,8.4
This Is Where I Leave You,2014,6.6
Jumanji: The Next Level,2019,6.7
The Other Guys,2010,6.7
Thor: Ragnarok,2017,7.9
Guardians of the Galaxy,2014,8.0
Cool Runnings,1993,7.0
Jungle Cruise,2021,6.6
The Grand Budapest Hotel,2014,8.1
Deadpool,2016,8.0
Moana,2016,7.6
Pitch Perfect,2012,7.1
American Pie,1999,7.0
Jojo Rabbit,2019,7.9
Despicable Me,2010,7.6
"Crazy, Stupid, Love.",2011,7.4
The Girl Next Door,2004,6.7
The Proposal,2009,6.7
Green Book,2018,8.2
Druk,2020,7.7
The Goonies,1985,7.8
Back to the Future,1985,8.5
Jackass 3D,2010,7.0
Frozen,2013,7.4
Ice Age,2002,7.5
La La Land,2016,8.0
Four Weddings and a Funeral,1994,7.1
Deadpool 2,2018,7.7
Cashback,2006,7.1
Jackass Number Two,2006,7.0
Fresh,2022,7.1
Charlie and the Chocolate Factory,2005,6.6
"I, Tonya",2017,7.5
Groundhog Day,1993,8.0
The Big Lebowski,1998,8.1
Shazam!,2019,7.0
Ron's Gone Wrong,2021,7.1
Soul,2020,8.1
Coco,2017,8.4
Love Actually,2003,7.6
Cars,2006,7.1
Snatch,2000,8.2
Mean Girls,2004,7.0
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Guardians of the Galaxy Vol. 2,2017,7.6
Almost Famous,2000,7.9
Caddyshack,1980,7.3
Heathers,1988,7.2
Crazy Rich Asians,2018,6.9
10 Things I Hate About You,1999,7.3
Clueless,1995,6.9
Superbad,2007,7.6
Dazed and Confused,1993,7.6
Hook,1991,6.8
The Breakfast Club,1985,7.8
Zootopia,2016,8.0
The Truman Show,1998,8.1
Men in Black,1997,7.3
Happy Gilmore,1996,7.0
Midnight in Paris,2011,7.7
Yesterday,2019,6.8
21 Jump Street,2012,7.2
About Time,2013,7.8
Emma.,2020,6.7
La vita è bella,1997,8.6
Airplane!,1980,7.7
Ghostbusters,2016,6.9
Napoleon Dynamite,2004,6.9
Teenage Mutant Ninja Turtles,1990,6.8
