Nightmare Alley,2021,7.2
Death on the Nile,2022,6.6
The Tinder Swindler,2022,7.3
House of Gucci,2021,6.7
West Side Story,2021,7.8
Nobody,2021,7.4
The Dark Knight,2008,9.0
The Wolf of Wall Street,2013,8.2
The Godfather,1972,9.2
The Unforgivable,2021,7.2
Kingsman: The Golden Circle,2017,6.7
Pulp Fiction,1994,8.9
The Gentlemen,2019,7.8
Knives Out,2019,7.9
Joker,2019,8.4
Prisoners,2013,8.1
Cruella,2021,7.4
Wrath of Man,2021,7.1
Death on the Nile,1978,7.3
Pushpa: The Rise - Part 1,2021,7.9
Promising Young Woman,2020,7.5
12 Angry Men,1957,9.0
Batman Begins,2005,8.2
Wind River,2017,7.7
American Psycho,2000,7.6
The Dark Knight Rises,2012,8.4
Léon,1994,8.5
Baby Driver,2017,7.6
Se7en,1995,8.6
Goodfellas,1990,8.7
The Silence of the Lambs,1991,8.6
The Devil All the Time,2020,7.1
The Other Guys,2010,6.7
Uncut Gems,2019,7.4
Taxi Driver,1976,8.2
The Grand Budapest Hotel,2014,8.1
Heat,1995,8.2
Jai Bhim,2021,9.3
The Departed,2006,8.5
No Country for Old Men,2007,8.1
Hell or High Water,2016,7.6
The Green Mile,1999,8.6
West Side Story,1961,7.5
A Time to Kill,1996,7.5
The Outsiders,1983,7.1
Despicable Me,2010,7.6
The Usual Suspects,1995,8.5
The Irishman,2019,7.8
The Girl with the Dragon Tattoo,2011,7.8
Sicario,2015,7.6
3:10 to Yuma,2007,7.7
The Town,2010,7.5
John Wick,2014,7.4
Ambulance,2022,9.3
The Godfather: Part II,1974,9.0
The Big Lebowski,1998,8.1
The Hateful Eight,2015,7.8
The Equalizer,2014,7.2
Snatch,2000,8.2
Scarface,1983,8.3
Catch Me If You Can,2002,8.1
Good Time,2017,7.4
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Heathers,1988,7.2
Reservoir Dogs,1992,8.3
A Clockwork Orange,1971,8.3
The Fugitive,1993,7.8
The Turning Point,1952,6.8
Cidade de Deus,2002,8.6
Fargo,1996,8.1
True Romance,1993,7.9
Zootopia,2016,8.0
From Dusk Till Dawn,1996,7.2
Stillwater,2021,6.6
Monster,2003,7.3
Once Upon a Time in America,1984,8.3
21 Jump Street,2012,7.2
Legend,2015,6.9
Den of Thieves,2018,7.0
Con Air,1997,6.9
Despicable Me 2,2013,7.3
The Nice Guys,2016,7.4
Enola Holmes,2020,6.6
Point Break,1991,7.3
Kill Bill: Vol. 1,2003,8.1
Donnie Brasco,1997,7.7
War Dogs,2016,7.1
L.A. Confidential,1997,8.2
Sin City,2005,8.0
Casino,1995,8.2
Road to Perdition,2002,7.7
Carlito's Way,1993,7.9
Nightcrawler,2014,7.8
The Warriors,1979,7.6
Collateral,2004,7.5
My Cousin Vinny,1992,7.6
Zodiac,2007,7.7
Batman Returns,1992,7.0
Just Mercy,2019,7.6
We're the Millers,2013,7.0
Law Abiding Citizen,2009,7.4
The Hitman's Bodyguard,2017,6.9
Gangs of New York,2002,7.5
The Fast and the Furious,2001,6.8
Kick-Ass,2010,7.6
Ocean's Eleven,2001,7.7
The Italian Job,2003,7.0
American Hustle,2013,7.2
Irréversible,2002,7.4
RoboCop,1987,7.6
Cherry,2021,6.6
Horrible Bosses,2011,6.8
Spotlight,2015,8.1
Sleepers,1996,7.6
The Dry,2020,6.9
Black Rain,1989,6.7
Bullitt,1968,7.4
Man on Fire,2004,7.7
The Negotiator,1998,7.3
Training Day,2001,7.7
John Wick: Chapter 3 - Parabellum,2019,7.4
Murder on the Orient Express,1974,7.3
El Camino: A Breaking Bad Movie,2019,7.3
"Lock, Stock and Two Smoking Barrels",1998,8.2
Don't Breathe,2016,7.1
Inside Man,2006,7.6
Deja Vu,2006,7.1
Taken,2008,7.8
Salinui chueok,2003,8.1
Molly's Game,2017,7.4
American Gangster,2007,7.8
BlacKkKlansman,2018,7.5
Jackie Brown,1997,7.5
Crash,2004,7.7
Contratiempo,2016,8.1
Fantastic Mr. Fox,2009,7.9
In the Heat of the Night,1967,7.9
Mystic River,2003,7.9
Game Night,2018,6.9
Shot Caller,2017,7.3
The Godfather: Part III,1990,7.6
The Good Liar,2019,6.7
Beverly Hills Cop,1984,7.3
"Extremely Wicked, Shockingly Evil and Vile",2019,6.7
The Untouchables,1987,7.9
The Mask,1994,6.9
The House That Jack Built,2018,6.8
Bad Boys,1995,6.9
Now You See Me,2013,7.2
Point Blank,1967,7.3
John Wick: Chapter 2,2017,7.5
Papillon,2017,7.2
Bad Times at the El Royale,2018,7.1
A Simple Favor,2018,6.8
Inherent Vice,2014,6.7
Panic Room,2002,6.8
Hannibal,2001,6.8
Red Dragon,2002,7.2
The Talented Mr. Ripley,1999,7.4
Fracture,2007,7.2
Fast & Furious,2009,6.6
Blow,2001,7.6
Minority Report,2002,7.6
Silverado,1985,7.2
Logan Lucky,2017,7.0
Soylent Green,1973,7.1
Rush Hour,1998,7.0
The Outfit,2022,7.7
The Place Beyond the Pines,2012,7.3
Lawless,2012,7.3
Chicago,2002,7.2
Wanted,2008,6.7
Fast & Furious 7,2015,7.1
The Blues Brothers,1980,7.9
Focus,2015,6.6
The Equalizer 2,2018,6.7
Sicario: Day of the Soldado,2018,7.1
Kill Bill: Vol. 2,2004,8.0
Desperado,1995,7.2
Blue Velvet,1986,7.7
"O Brother, Where Art Thou?",2000,7.7
Boyz n the Hood,1991,7.8
Motherless Brooklyn,2019,6.8
Gone Baby Gone,2007,7.6
Furious 6,2013,7.0
Natural Born Killers,1994,7.3
The Heat,2013,6.6
The Mule,2018,7.0
Richard Jewell,2019,7.5
Face/Off,1997,7.2
Ang-ma-reul bo-at-da,2010,7.8
U.S. Marshals,1998,6.6
Dog Day Afternoon,1975,8.0
End of Watch,2012,7.6
Lethal Weapon,1987,7.6
RED,2010,7.0
Heavenly Creatures,1994,7.3
In Bruges,2008,7.9
Cape Fear,1991,7.3
Thelma & Louise,1991,7.5
Who Framed Roger Rabbit,1988,7.7
K.G.F: Chapter 1,2018,8.3
Falling Down,1993,7.6
The French Connection,1971,7.7
Lola rennt,1998,7.7
22 Jump Street,2014,7.0
Primal Fear,1996,7.7
House of Sand and Fog,2003,7.5
The Informer,2019,6.6
Fast Five,2011,7.3
Super Troopers,2001,7.1
Traffic,2000,7.6
Män som hatar kvinnor,2009,7.8
To Kill a Mockingbird,1962,8.2
The Fate of the Furious,2017,6.6
What Happened to Monday,2017,6.9
Widows,2018,6.8
This Is England,2006,7.7
2 Guns,2013,6.7
Dragged Across Concrete,2018,6.9
Perfume: The Story of a Murderer,2006,7.5
Dredd,2012,7.1
The Naked Gun: From the Files of Police Squad!,1988,7.6
Once Were Warriors,1994,7.9
Public Enemies,2009,7.0
Wild at Heart,1990,7.2
Risky Business,1983,6.8
Chung Hing sam lam,1994,8.1
Austin Powers: The Spy Who Shagged Me,1999,6.6
Sexy Beast,2000,7.3
Official Secrets,2019,7.3
Adventures in Babysitting,1987,6.9
Silver Streak,1976,6.9
Brawl in Cell Block 99,2017,7.2
Khiladi,2022,7.8
Dogville,2003,8.0
Serbuan maut,2011,7.6
RocknRolla,2008,7.3
The Judge,2014,7.4
Serpico,1973,7.7
Megamind,2010,7.3
Manhunter,1986,7.2
Wall Street,1987,7.4
Halloween,2018,6.6
Changeling,2008,7.7
Pineapple Express,2008,6.9
Menace II Society,1993,7.5
American Made,2017,7.2
Southpaw,2015,7.4
Captain Phillips,2013,7.8
The Sting,1973,8.3
The Highwaymen,2019,6.9
Smokin' Aces,2006,6.7
Layer Cake,2004,7.3
RED 2,2013,6.6
La haine,1995,8.1
Let Him Go,2020,6.7
Penyalin Cahaya,2021,6.9
Eastern Promises,2007,7.6
Pâfekuto burû,1997,8.0
Gangster Squad,2013,6.7
Bound by Honor,1993,8.0
Bound,1996,7.3
Bronson,2008,7.1
The Hate U Give,2018,7.5
The Lincoln Lawyer,2011,7.3
Ocean's Thirteen,2007,6.9
The Basketball Diaries,1995,7.3
Kiss the Girls,1997,6.6
A Bronx Tale,1993,7.8
Ronin,1998,7.3
Queen & Slim,2019,7.1
You Were Never Really Here,2017,6.8
Glengarry Glen Ross,1992,7.7
Butch Cassidy and the Sundance Kid,1969,8.0
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5
The Next Three Days,2010,7.3
Blood Simple,1984,7.6
Mississippi Burning,1988,7.8
Burn After Reading,2008,7.0
Seven Psychopaths,2012,7.2
All the Money in the World,2017,6.8
Out of Sight,1998,7.0
La migliore offerta,2013,7.8
Akinjeon,2019,7.0
Freedom Writers,2007,7.6
Dirty Harry,1971,7.7
I See You,2019,6.8
I Don't Feel at Home in This World Anymore,2017,6.9
Raising Arizona,1987,7.3
Out of the Furnace,2013,6.8
In the Name of the Father,1993,8.1
The Transporter,2002,6.8
Tangerine,2015,7.1
Do lok tin si,1995,7.7
Elle,2016,7.1
No Way Out,1987,7.1
A History of Violence,2005,7.4
Side Effects,2013,7.1
The Long Goodbye,1973,7.6
Four Brothers,2005,6.8
Les frères Sisters,2018,6.9
Dressed to Kill,1980,7.1
Bad Boys II,2003,6.6
Kol,2020,7.1
Black Mass,2015,6.9
Papillon,1973,8.0
Going in Style,2017,6.6
Cool Hand Luke,1967,8.1
In the Line of Fire,1993,7.2
Lord of War,2005,7.6
The Thomas Crown Affair,1999,6.9
Chappie,2015,6.8
Disturbia,2007,6.8
Bolt,2008,6.8
Clear and Present Danger,1994,6.9
Home Alone 2: Lost in New York,1992,6.8
Gold,2016,6.7
Machete,2010,6.6
Swimming Pool,2003,6.7
Crank,2006,6.9
Snowden,2016,7.3
Átame!,1989,7.0
Kiss Kiss Bang Bang,2005,7.5
21,2008,6.8
Top Secret!,1984,7.2
Sardar Udham,2021,8.7
Funny Games,2007,6.6
Before the Devil Knows You're Dead,2007,7.3
The Report,2019,7.2
Body Double,1984,6.8
Lucky Number Slevin,2006,7.7
Den skyldige,2018,7.5
The Crying Game,1992,7.3
Garuda Gamana Vrishabha Vahana,2021,8.6
Hooligans,2005,7.4
Rush Hour 2,2001,6.6
48 Hrs.,1982,6.9
Bottle Rocket,1996,7.0
Bonnie and Clyde,1967,7.8
Alpha Dog,2006,6.9
Body Heat,1981,7.4
Absolute Power,1997,6.7
The King of Comedy,1982,7.8
To Die For,1995,6.8
A Call to Spy,2019,6.6
Witness for the Prosecution,1957,8.4
The Devil's Rejects,2005,6.8
The Last Boy Scout,1991,7.0
After Hours,1985,7.7
Bully,2001,6.9
Man on a Ledge,2012,6.6
Boys Don't Cry,1999,7.5
Fallen,1998,7.0
On the Waterfront,1954,8.1
Enter the Dragon,1973,7.7
Funny Games,1997,7.6
21 Grams,2003,7.6
Half Baked,1998,6.7
Get Shorty,1995,6.9
Evil Under the Sun,1982,7.1
Unthinkable,2010,7.1
Go,1999,7.2
State of Play,2009,7.1
The Rainmaker,1997,7.2
Payback,1999,7.1
Life,1999,6.8
Traitor,2008,7.0
Mr. Brooks,2007,7.3
The Book of Henry,2017,6.6
Dancer in the Dark,2000,8.0
Rounders,1998,7.3
Patriots Day,2016,7.4
The White Tiger,2021,7.1
Beast,2017,6.8
Paper Moon,1973,8.1
The Drop,2014,7.1
Kôkaku Kidôtai,1995,8.0
The Accused,1988,7.2
A Most Violent Year,2014,7.0
The Ghost Writer,2010,7.2
Strange Days,1995,7.2
Rashômon,1950,8.2
A Fish Called Wanda,1988,7.5
The Night of the Hunter,1955,8.0
Andhadhun,2018,8.2
Veronica Mars,2014,6.8
American Animals,2018,7.0
Mean Streets,1973,7.2
Michael Clayton,2007,7.2
The Long Kiss Goodnight,1996,6.8
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.6
Filth,2013,7.1
The Bone Collector,1999,6.7
Cop Land,1997,6.9
Midnight Express,1978,7.6
In the Bedroom,2001,7.4
The Guard,2011,7.3
Bernie,2011,6.8
Skin,2018,6.9
Phone Booth,2002,7.0
"Batman: The Long Halloween, Part One",2021,7.3
Serbuan maut 2: Berandal,2014,8.0
7 Prisioneiros,2021,7.1
Capote,2005,7.3
Notes on a Scandal,2006,7.4
Madeo,2009,7.8
Straw Dogs,1971,7.5
Antim: The Final Truth,2021,7.0
Frailty,2001,7.2
Juice,1992,7.1
The Call,2013,6.7
The Life of David Gale,2003,7.5
Spun,2002,6.8
The Pelican Brief,1993,6.6
King of New York,1990,7.0
Gangs of Wasseypur,2012,8.2
