Nightmare Alley,2021,7.2
The Power of the Dog,2021,6.9
Death on the Nile,2022,6.6
House of Gucci,2021,6.7
Don't Look Up,2021,7.2
Licorice Pizza,2021,7.8
Belfast,2021,7.4
Dune: Part One,2021,8.1
CODA,2021,8.1
Spencer,2021,6.8
The Last Duel,2021,7.4
Verdens verste menneske,2021,7.9
"tick, tick...BOOM!",2021,7.6
The Lost Daughter,2021,6.7
West Side Story,2021,7.8
King Richard,2021,7.6
The Fallout,2021,7.1
Munich: The Edge of War,2021,6.9
The Tragedy of Macbeth,2021,7.3
Red Rocket,2021,7.2
Redeeming Love,2022,6.6
The French Dispatch,2021,7.3
American Underdog,2021,7.2
Being the Ricardos,2021,6.6
Nobody,2021,7.4
The Eyes of Tammy Faye,2021,6.7
Last Night in Soho,2021,7.1
Flugt,2021,8.1
Madres paralelas,2021,7.1
The Shawshank Redemption,1994,9.3
The Dark Knight,2008,9.0
The Wolf of Wall Street,2013,8.2
Avengers: Endgame,2019,8.4
Interstellar,2014,8.6
The Godfather,1972,9.2
Titane,2021,6.7
Once Upon a Time in... Hollywood,2019,7.6
Brothers,2009,7.1
Fight Club,1999,8.8
The Tender Bar,2021,6.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
The Unforgivable,2021,7.2
The Hunger Games: Catching Fire,2013,7.5
Titanic,1997,7.8
Pulp Fiction,1994,8.9
Gisaengchung,2019,8.6
Knives Out,2019,7.9
Inglourious Basterds,2009,8.3
Midsommar,2019,7.1
Watchmen,2009,7.6
Tombstone,1993,7.8
È stata la mano di Dio,2021,7.4
Joker,2019,8.4
The Green Knight,2021,6.6
The Big Short,2015,7.8
Pig,2021,7.0
Prisoners,2013,8.1
Cruella,2021,7.4
The Invisible Man,2020,7.1
Schindler's List,1993,8.9
Warrior,2011,8.1
After Yang,2021,7.4
Mahaan,2022,8.1
Forrest Gump,1994,8.8
Raya and the Last Dragon,2021,7.3
Death on the Nile,1978,7.3
Pushpa: The Rise - Part 1,2021,7.9
Blade Runner 2049,2017,8.0
Promising Young Woman,2020,7.5
The Devil's Advocate,1997,7.5
The Lighthouse,2019,7.5
Gone Girl,2014,8.1
Django Unchained,2012,8.4
12 Angry Men,1957,9.0
Batman Begins,2005,8.2
Wind River,2017,7.7
C'mon C'mon,2021,7.6
13 Hours,2016,7.3
This Is Where I Leave You,2014,6.6
Whiplash,2014,8.5
American Psycho,2000,7.6
The Dark Knight Rises,2012,8.4
The Father,2020,8.3
Léon,1994,8.5
1917,2019,8.3
Little Women,2019,7.8
Baby Driver,2017,7.6
Se7en,1995,8.6
Goodfellas,1990,8.7
The Silence of the Lambs,1991,8.6
Gladiator,2000,8.5
The Notebook,2004,7.8
The Devil All the Time,2020,7.1
The Lord of the Rings: The Return of the King,2003,8.9
The Prestige,2006,8.5
The Harder They Fall,2021,6.6
Pride & Prejudice,2005,7.8
Hacksaw Ridge,2016,8.1
Uncut Gems,2019,7.4
Troy,2004,7.3
Requiem for a Dream,2000,8.3
Top Gun,1986,6.9
Taxi Driver,1976,8.2
Jagten,2012,8.3
Boiling Point,2021,7.6
Saving Private Ryan,1998,8.6
Heat,1995,8.2
The Martian,2015,8.0
Call Me by Your Name,2017,7.9
Jai Bhim,2021,9.3
The Departed,2006,8.5
No Country for Old Men,2007,8.1
Ryû to sobakasu no hime,2021,7.3
Ghahreman,2021,7.5
There Will Be Blood,2007,8.2
Cinderella,2015,6.9
Blade Runner,1982,8.1
Apocalypse Now,1979,8.4
The King,2019,7.3
300,2006,7.6
Hell or High Water,2016,7.6
Stand by Me,1986,8.1
Brokeback Mountain,2005,7.7
Mass,2021,7.7
Braveheart,1995,8.3
Donnie Darko,2001,8.0
Annihilation,2018,6.8
The Green Mile,1999,8.6
Hamilton,2020,8.4
Hereditary,2018,7.3
The Tomorrow War,2021,6.6
Finch,2021,6.9
The Greatest Showman,2017,7.6
The Social Network,2010,7.7
American Beauty,1999,8.3
West Side Story,1961,7.5
Jojo Rabbit,2019,7.9
A Time to Kill,1996,7.5
The Outsiders,1983,7.1
The Shape of Water,2017,7.3
A Quiet Place Part II,2020,7.3
"Crazy, Stupid, Love.",2011,7.4
