Encanto,2021,7.3
Spider-Man: No Way Home,2021,8.7
Ghostbusters: Afterlife,2021,7.2
Free Guy,2021,7.2
Ghostbusters,1984,7.8
Shang-Chi and the Legend of the Ten Rings,2021,7.5
Harry Potter and the Sorcerer's Stone,2001,7.6
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
The Green Knight,2021,6.6
Raya and the Last Dragon,2021,7.3
Zack Snyder's Justice League,2021,8.1
Star Wars,1977,8.6
Avatar,2009,7.8
The Lighthouse,2019,7.5
Luca,2021,7.5
Spider-Man: Into the Spider-Verse,2018,8.4
Jumanji: The Next Level,2019,6.7
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0
The Lord of the Rings: The Return of the King,2003,8.9
Thor: Ragnarok,2017,7.9
Jungle Cruise,2021,6.6
Harry Potter and the Goblet of Fire,2005,7.7
The Hobbit: An Unexpected Journey,2012,7.8
Moana,2016,7.6
Harry Potter and the Prisoner of Azkaban,2004,7.9
Ryû to sobakasu no hime,2021,7.3
Cinderella,2015,6.9
The Green Mile,1999,8.6
The Shape of Water,2017,7.3
Doctor Strange,2016,7.5
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
The Princess Bride,1987,8.1
The Lord of the Rings: The Two Towers,2002,8.7
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Star Wars: Episode III - Revenge of the Sith,2005,7.5
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
Frozen,2013,7.4
Pan's Labyrinth,2006,8.2
Harry Potter and the Deathly Hallows: Part 1,2010,7.7
The Mummy,1999,7.1
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.3
Thor,2011,7.0
Fantastic Beasts and Where to Find Them,2016,7.3
Charlie and the Chocolate Factory,2005,6.6
Groundhog Day,1993,8.0
Shazam!,2019,7.0
Star Wars: Episode VIII - The Last Jedi,2017,6.9
Stardust,2007,7.6
Soul,2020,8.1
Coco,2017,8.4
Harry Potter and the Order of the Phoenix,2007,7.5
Sen to Chihiro no kamikakushi,2001,8.6
Aquaman,2018,6.9
Harry Potter and the Chamber of Secrets,2002,7.5
Harry Potter and the Half-Blood Prince,2009,7.6
Hook,1991,6.8
Wonder Woman,2017,7.4
Beauty and the Beast,2017,7.1
Midnight in Paris,2011,7.7
The Hobbit: The Desolation of Smaug,2013,7.8
Yesterday,2019,6.8
About Time,2013,7.8
Ghostbusters,2016,6.9
Toy Story,1995,8.3
Doctor Sleep,2019,7.3
King Arthur: Legend of the Sword,2017,6.7
Jumanji: Welcome to the Jungle,2017,6.9
Aladdin,2019,6.9
The Hobbit: The Battle of the Five Armies,2014,7.4
Ghostbusters II,1989,6.6
Ratatouille,2007,8.0
Interview with the Vampire: The Vampire Chronicles,1994,7.5
Dracula,1992,7.4
Scott Pilgrim vs. the World,2010,7.5
Excalibur,1981,7.4
Clash of the Titans,1981,6.9
Kimi no na wa.,2016,8.4
Hauru no ugoku shiro,2004,8.2
Suspiria,2018,6.8
Palm Springs,2020,7.4
The Curious Case of Benjamin Button,2008,7.8
Beetle Juice,1988,7.5
Batman Returns,1992,7.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9
Hotel Transylvania,2012,7.1
Willy Wonka & the Chocolate Factory,1971,7.8
Willow,1988,7.3
Inside Out,2015,8.1
Matilda,1996,6.9
Thor: The Dark World,2013,6.8
Jumanji,1995,7.0
Tangled,2010,7.7
The Lovely Bones,2009,6.7
Enchanted,2007,7.0
Pirates of the Caribbean: Dead Man's Chest,2006,7.3
The Age of Adaline,2015,7.2
Hercules,1997,7.3
Shrek,2001,7.9
Pirates of the Caribbean: On Stranger Tides,2011,6.6
Big Fish,2003,8.0
The Old Guard,2020,6.7
The Wizard of Oz,1939,8.0
Constantine,2005,7.0
The NeverEnding Story,1984,7.4
Toy Story 4,2019,7.7
Love and Monsters,2020,7.0
Frozen II,2019,6.8
Mulan,1998,7.7
Kung Fu Panda,2008,7.6
"Monsters, Inc.",2001,8.1
Liar Liar,1997,6.9
Life of Pi,2012,7.9
Labyrinth,1986,7.4
Time Bandits,1981,7.0
The Mask,1994,6.9
How to Train Your Dragon,2010,8.1
Kong: Skull Island,2017,6.6
Let Me In,2010,7.1
Pirates of the Caribbean: At World's End,2007,7.1
Aladdin,1992,8.0
It's a Wonderful Life,1946,8.6
Mr. Nobody,2009,7.8
Toy Story 3,2010,8.2
Hellboy,2004,6.8
Onward,2020,7.4
A Bug's Life,1998,7.2
Mary Poppins,1964,7.8
Highlander,1986,7.1
The Addams Family,1991,6.9
Minnal Murali,2021,8.1
Sleepy Hollow,1999,7.3
Beauty and the Beast,1991,8.0
Det sjunde inseglet,1957,8.2
Monty Python and the Holy Grail,1975,8.2
Mononoke-hime,1997,8.4
The Little Mermaid,1989,7.6
Nine Days,2020,6.9
Big Trouble in Little China,1986,7.3
Peter Pan,2003,6.8
Ghost,1990,7.1
The Croods: A New Age,2020,7.0
Maleficent,2014,7.0
Meet Joe Black,1998,7.2
The Secret Life of Walter Mitty,2013,7.3
Brave,2012,7.1
The Tree of Life,2011,6.8
Coraline,2009,7.7
"Oh, God!",1977,6.6
Vanilla Sky,2001,6.9
Atlantis: The Lost Empire,2001,6.9
Who Framed Roger Rabbit,1988,7.7
Conan the Barbarian,1982,6.9
Maleficent: Mistress of Evil,2019,6.6
The Jungle Book,2016,7.4
Miss Peregrine's Home for Peculiar Children,2016,6.7
Edward Scissorhands,1990,7.9
Gremlins,1984,7.3
1408,2007,6.8
The Crow,1994,7.6
Underworld,2003,7.0
9,2009,7.1
Toy Story 2,1999,7.9
Prince of Persia: The Sands of Time,2010,6.6
Paddington,2014,7.3
Enter the Void,2009,7.3
Bridge to Terabithia,2007,7.2
Wreck-It Ralph,2012,7.7
Låt den rätte komma in,2008,7.9
What Happened to Monday,2017,6.9
La montaña sagrada,1973,7.9
Shrek 2,2004,7.2
Only Lovers Left Alive,2013,7.3
Perfume: The Story of a Murderer,2006,7.5
Mary Poppins Returns,2018,6.7
The Lego Movie,2014,7.7
Warcraft,2016,6.8
Lilo & Stitch,2002,7.3
Ralph Breaks the Internet,2018,7.0
Planet Terror,2007,7.0
A Series of Unfortunate Events,2004,6.8
Hugo,2011,7.5
Hocus Pocus,1993,6.9
Tonari no Totoro,1988,8.2
Bruce Almighty,2003,6.8
Akira,1988,8.0
The Emperor's New Groove,2000,7.4
Dark City,1998,7.6
Big,1988,7.3
The Witcher: Nightmare of the Wolf,2021,7.3
The Prince of Egypt,1998,7.1
The Lego Batman Movie,2017,7.3
