The Power of the Dog,2021,6.9
Licorice Pizza,2021,7.8
Verdens verste menneske,2021,7.9
West Side Story,2021,7.8
I Want You Back,2022,6.7
Redeeming Love,2022,6.6
The French Dispatch,2021,7.3
The Eyes of Tammy Faye,2021,6.7
Titanic,1997,7.8
Forrest Gump,1994,8.8
Little Women,2019,7.8
The Notebook,2004,7.8
Pride & Prejudice,2005,7.8
Call Me by Your Name,2017,7.9
Cinderella,2015,6.9
The King,2019,7.3
Brokeback Mountain,2005,7.7
Pitch Perfect,2012,7.1
West Side Story,1961,7.5
The Shape of Water,2017,7.3
"Crazy, Stupid, Love.",2011,7.4
The Girl Next Door,2004,6.7
The Proposal,2009,6.7
The Great Gatsby,2013,7.2
In the Heights,2021,7.3
The Princess Bride,1987,8.1
The Piano,1993,7.6
Good Will Hunting,1997,8.3
Phantom Thread,2017,7.5
Romeo + Juliet,1996,6.7
Eternal Sunshine of the Spotless Mind,2004,8.3
La La Land,2016,8.0
Four Weddings and a Funeral,1994,7.1
Cashback,2006,7.1
Downton Abbey,2019,7.4
Groundhog Day,1993,8.0
Stardust,2007,7.6
Love Actually,2003,7.6
A Star Is Born,2018,7.6
The Other Boleyn Girl,2008,6.7
Me Before You,2016,7.4
Crazy Rich Asians,2018,6.9
10 Things I Hate About You,1999,7.3
Clueless,1995,6.9
Casablanca,1942,8.5
True Romance,1993,7.9
Beauty and the Beast,2017,7.1
The Perks of Being a Wallflower,2012,7.9
Her,2013,8.0
Malcolm & Marie,2021,6.7
Midnight in Paris,2011,7.7
The Dreamers,2003,7.2
Yesterday,2019,6.8
Shyam Singha Roy,2021,7.9
About Time,2013,7.8
Dirty Dancing,1987,7.0
Emma.,2020,6.7
Malèna,2000,7.5
Passengers,2016,7.0
La vita è bella,1997,8.6
Atonement,2007,7.8
Silver Linings Playbook,2012,7.7
Les Misérables,2012,7.6
Grease,1978,7.2
Aladdin,2019,6.9
Ah-ga-ssi,2016,8.1
The 40 Year Old Virgin,2005,7.1
Marriage Story,2019,7.9
My Girl,1991,6.9
Dracula,1992,7.4
La vie d'Adèle,2013,7.7
Scott Pilgrim vs. the World,2010,7.5
Pretty Woman,1990,7.1
Cast Away,2000,7.8
Excalibur,1981,7.4
Kimi no na wa.,2016,8.4
Swan Song,2021,6.8
Moulin Rouge!,2001,7.6
Palm Springs,2020,7.4
Moonrise Kingdom,2012,7.8
The Curious Case of Benjamin Button,2008,7.8
Forgetting Sarah Marshall,2008,7.1
Le fabuleux destin d'Amélie Poulain,2001,8.3
Secretary,2002,7.0
Unfaithful,2002,6.7
Willow,1988,7.3
The Last Picture Show,1971,8.0
The Lobster,2015,7.2
Lolita,1997,6.9
The Ballad of Buster Scruggs,2018,7.3
Tangled,2010,7.7
Enchanted,2007,7.0
Bridesmaids,2011,6.8
The Age of Adaline,2015,7.2
Sixteen Candles,1984,7.0
Hercules,1997,7.3
Shrek,2001,7.9
Footloose,1984,6.6
(500) Days of Summer,2009,7.6
Big Fish,2003,8.0
Love & Other Drugs,2010,6.7
The Reader,2008,7.6
Easy A,2010,7.0
Never Let Me Go,2010,7.1
Notting Hill,1999,7.1
Robin Hood: Men in Tights,1993,6.7
Gone with the Wind,1939,8.1
Fa Yeung Nin Wah,2000,8.1
The Parent Trap,1998,6.6
Cruel Intentions,1999,6.8
The Phantom of the Opera,2004,7.2
The Sound of Music,1965,8.0
Rent,2005,6.9
The Last of the Mohicans,1992,7.7
The Souvenir: Part II,2021,7.6
The Wedding Singer,1998,6.9
Meet the Parents,2000,7.0
Before Sunrise,1995,8.1
The Terminal,2004,7.4
Rachel Getting Married,2008,6.7
Weird Science,1985,6.6
Punch-Drunk Love,2002,7.3
Little Women,1994,7.3
Hytti nro 6,2021,7.4
The English Patient,1996,7.4
Mamma Mia! Here We Go Again,2018,6.6
Long Shot,2019,6.8
Portrait de la jeune fille en feu,2019,8.1
Legends of the Fall,1994,7.5
Knocked Up,2007,6.9
Anna Karenina,2012,6.6
The Young Victoria,2009,7.3
Steel Magnolias,1989,7.3
The Fault in Our Stars,2014,7.7
As Good as It Gets,1997,7.7
Slumdog Millionaire,2008,8.0
Inherent Vice,2014,6.7
"Love, Rosie",2014,7.2
Chocolat,2000,7.2
Carol,2015,7.3
Aladdin,1992,8.0
Hitch,2005,6.6
Mr. Nobody,2009,7.8
Hairspray,2007,6.7
Silverado,1985,7.2
Waves,2019,7.6
Some Like It Hot,1959,8.2
Vicky Cristina Barcelona,2008,7.1
The Graduate,1967,8.0
Wedding Crashers,2005,6.9
There's Something About Mary,1998,7.1
Jerry Maguire,1996,7.3
The Guernsey Literary and Potato Peel Pie Society,2018,7.4
50 First Dates,2004,6.8
A Knight's Tale,2001,7.0
Closer,2004,7.2
King Kong,2005,7.2
The Life Aquatic with Steve Zissou,2004,7.3
Sense and Sensibility,1995,7.7
Focus,2015,6.6
Beauty and the Beast,1991,8.0
The Theory of Everything,2014,7.7
Dangerous Liaisons,1988,7.6
The Danish Girl,2015,7.1
The Little Mermaid,1989,7.6
High Fidelity,2000,7.5
The Last Letter from Your Lover,2021,6.7
The Beach,2000,6.7
Vertigo,1958,8.3
Peter Pan,2003,6.8
Ghost,1990,7.1
The Mask of Zorro,1998,6.8
Maleficent,2014,7.0
Coming to America,1988,7.1
When Harry Met Sally...,1989,7.6
The Light Between Oceans,2016,7.2
The Big Sick,2017,7.5
Five Feet Apart,2019,7.2
Revolutionary Road,2008,7.3
Meet Joe Black,1998,7.2
The Holiday,2006,6.9
The Secret Life of Walter Mitty,2013,7.3
Pretty in Pink,1986,6.8
Ich bin dein Mensch,2021,7.1
The Virgin Suicides,1999,7.2
Blue Valentine,2010,7.3
"I Love You, Man",2009,7.0
Chandigarh Kare Aashiqui,2021,6.9
Atrangi Re,2021,6.6
Bridget Jones's Diary,2001,6.7
Vanilla Sky,2001,6.9
Breakfast at Tiffany's,1961,7.6
Australia,2008,6.6
One Day,2011,7.0
A Walk to Remember,2002,7.3
Moonstruck,1987,7.1
Edward Scissorhands,1990,7.9
Walk the Line,2005,7.8
Little Shop of Horrors,1986,7.1
Little Children,2006,7.5
Match Point,2005,7.6
Monster's Ball,2001,7.0
Lucía y el sexo,2001,7.1
Romeo and Juliet,1968,7.6
Disobedience,2017,6.6
Låt den rätte komma in,2008,7.9
The F Word,2013,6.8
Cold Mountain,2003,7.2
L'amant,1992,6.9
Youth,2015,7.3
Shrek 2,2004,7.2
Empire Records,1995,6.7
Say Anything...,1989,7.3
37°2 le matin,1986,7.4
Only Lovers Left Alive,2013,7.3
The Choice,2016,6.6
Overboard,1987,6.9
Risky Business,1983,6.8
Romancing the Stone,1984,6.9
Chung Hing sam lam,1994,8.1
Singin' in the Rain,1952,8.3
Sleepless in Seattle,1993,6.8
The Birds,1963,7.7
Summer School,1987,6.6
Planet Terror,2007,7.0
Judy,2019,6.8
Roxanne,1987,6.6
Leaving Las Vegas,1995,7.5
Adventures in Babysitting,1987,6.9
Silver Streak,1976,6.9
Robin Hood: Prince of Thieves,1991,6.9
Hridayam,2022,8.8
