Nightmare Alley,2021,7.2
The Power of the Dog,2021,6.9
Death on the Nile,2022,6.6
Encanto,2021,7.3
Jackass Forever,2022,7.6
Spider-Man: No Way Home,2021,8.7
The Tinder Swindler,2022,7.3
Uncharted,2022,6.8
House of Gucci,2021,6.7
Don't Look Up,2021,7.2
Licorice Pizza,2021,7.8
Ghostbusters: Afterlife,2021,7.2
Belfast,2021,7.4
Dune: Part One,2021,8.1
CODA,2021,8.1
Scream,2022,6.9
Sing 2,2021,7.5
Spencer,2021,6.8
The Last Duel,2021,7.4
Verdens verste menneske,2021,7.9
"tick, tick...BOOM!",2021,7.6
The Lost Daughter,2021,6.7
West Side Story,2021,7.8
King Richard,2021,7.6
The Fallout,2021,7.1
I Want You Back,2022,6.7
Munich: The Edge of War,2021,6.9
No Time to Die,2021,7.3
The Tragedy of Macbeth,2021,7.3
Red Rocket,2021,7.2
Redeeming Love,2022,6.6
The French Dispatch,2021,7.3
American Underdog,2021,7.2
Being the Ricardos,2021,6.6
The Suicide Squad,2021,7.2
Nobody,2021,7.4
The Eyes of Tammy Faye,2021,6.7
Jack Reacher,2012,7.0
Free Guy,2021,7.2
Last Night in Soho,2021,7.1
Flugt,2021,8.1
Ghostbusters,1984,7.8
Shang-Chi and the Legend of the Ten Rings,2021,7.5
Madres paralelas,2021,7.1
The Shawshank Redemption,1994,9.3
The Dark Knight,2008,9.0
The Wolf of Wall Street,2013,8.2
Kingsman: The Secret Service,2014,7.7
Dog,2022,7.0
Avengers: Endgame,2019,8.4
Interstellar,2014,8.6
The Godfather,1972,9.2
Titane,2021,6.7
Jurassic Park,1993,8.1
Once Upon a Time in... Hollywood,2019,7.6
Brothers,2009,7.1
Fight Club,1999,8.8
Harry Potter and the Sorcerer's Stone,2001,7.6
The Tender Bar,2021,6.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
The Unforgivable,2021,7.2
The Matrix,1999,8.7
The Hunger Games: Catching Fire,2013,7.5
Spider-Man,2002,7.3
Spider-Man: Homecoming,2017,7.4
Sing,2016,7.1
Titanic,1997,7.8
Kingsman: The Golden Circle,2017,6.7
Pulp Fiction,1994,8.9
The Gentlemen,2019,7.8
Gisaengchung,2019,8.6
Knives Out,2019,7.9
Inglourious Basterds,2009,8.3
Midsommar,2019,7.1
Watchmen,2009,7.6
Tombstone,1993,7.8
È stata la mano di Dio,2021,7.4
Joker,2019,8.4
The Green Knight,2021,6.6
Black Widow,2021,6.7
Inception,2010,8.8
Avengers: Infinity War,2018,8.4
The Big Short,2015,7.8
Scream,1996,7.3
Pig,2021,7.0
Prisoners,2013,8.1
Cruella,2021,7.4
Tenet,2020,7.4
Wrath of Man,2021,7.1
The Invisible Man,2020,7.1
Schindler's List,1993,8.9
Jackass: The Movie,2002,6.6
Warrior,2011,8.1
After Yang,2021,7.4
Mahaan,2022,8.1
Forrest Gump,1994,8.8
Raya and the Last Dragon,2021,7.3
Spider-Man: Far from Home,2019,7.4
Death on the Nile,1978,7.3
Zack Snyder's Justice League,2021,8.1
Pushpa: The Rise - Part 1,2021,7.9
Blade Runner 2049,2017,8.0
Star Wars,1977,8.6
The Hangover,2009,7.7
Independence Day,1996,7.0
Promising Young Woman,2020,7.5
Avatar,2009,7.8
The Devil's Advocate,1997,7.5
The Lighthouse,2019,7.5
Gone Girl,2014,8.1
Django Unchained,2012,8.4
12 Angry Men,1957,9.0
The Mitchells vs the Machines,2021,7.7
Batman Begins,2005,8.2
Wind River,2017,7.7
Luca,2021,7.5
C'mon C'mon,2021,7.6
Spider-Man: Into the Spider-Verse,2018,8.4
13 Hours,2016,7.3
This Is Where I Leave You,2014,6.6
Whiplash,2014,8.5
American Psycho,2000,7.6
Jumanji: The Next Level,2019,6.7
The Dark Knight Rises,2012,8.4
Mad Max: Fury Road,2015,8.1
Black Panther,2018,7.3
The Amazing Spider-Man,2012,6.9
The Father,2020,8.3
Léon,1994,8.5
1917,2019,8.3
Little Women,2019,7.8
Baby Driver,2017,7.6
Se7en,1995,8.6
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0
Goodfellas,1990,8.7
The Silence of the Lambs,1991,8.6
Gladiator,2000,8.5
